time, pos, colour
1093,1.1208724695441006,1
1094,1.1205359568863789,1
1095,1.0205422355731637,1
1096,1.0415823002206888,1
1097,1.0254783874460134,1
1098,1.0613196893741068,1
1099,1.1540675944622767,1
1100,1.1234295989492686,1
1101,1.1604893509442133,1
1102,1.2677218440033935,1
1103,1.3162695716047,1
1104,1.3820443691579216,1
1105,1.3909114540288274,1
1106,1.4551372647770247,1
1107,1.4080275390110244,1
1108,1.4760604826159114,1
1109,1.5747368504554866,1
1110,1.6457992776635553,1
1111,1.6507610888871422,1
1112,1.618682808207843,1
1113,1.6379353399318657,1
1114,1.6195065415395793,1
1115,1.6126871873857458,1
1116,1.5882211316562975,1
1117,1.5799114887874266,1
1118,1.5474474910341762,1
1119,1.5743209492835781,1
1120,1.5492916124839986,1
1121,1.5400467652383327,1
1122,1.5653107844075096,1
1123,1.5960743465093765,1
1124,1.6526724064450877,1
1125,1.673182814702906,1
1126,1.6903460502077499,1
1127,1.7138357593355968,1
1128,1.7940836909566777,1
1129,1.9482860865123033,1
1130,1.9399713317885217,1
1131,1.9842642476997947,1
1132,1.9526016340270518,1
1133,2.0403069222357417,1
1134,2.061188098229108,1
1135,2.11584161737663,1
1136,2.067358394383187,1
1137,2.0591726806668627,1
1138,2.1172899707585864,1
1139,2.023872311823354,1
1140,2.0660380530786995,1
1141,1.992995571613257,1
1142,1.9598108426077536,1
1143,1.998387410154677,1
1144,2.0554669767454787,1
1145,2.013363040763412,1
1146,2.014536932417573,1
1147,2.004339417857332,1
1148,1.9782840489329663,1
1149,1.9201597883527042,1
1150,1.9347571274007036,1
1151,1.9086434688259086,1
1152,1.9005859550754511,1
1153,1.9099714264944778,1
1154,1.8546236306404371,1
1155,1.918880640226551,1
1156,1.8928080080850287,1
1157,1.8556104778139022,1
1158,1.8966131802503605,1
1159,1.8711657239323898,1
1160,1.8986910308115752,1
1161,1.8731990273482766,1
1162,1.9161105920797548,1
1163,1.9620408341805913,1
1164,1.9220711721127703,1
1165,1.8775413850958982,1
1166,1.7802938863108153,1
1167,1.80742592503937,1
1168,1.7552941382152643,1
1169,1.7871039190521516,1
1170,1.7287126726907267,1
1171,1.7812319793066234,1
1172,1.8360634522857386,-5
1173,1.71552989479132,1
1174,1.6929895479657504,1
1175,1.785423710405378,1
1176,1.835704582139455,1
1177,1.8825836141685477,1
1178,1.9617884691009961,1
1179,1.9905919025617769,1
1180,1.9537485050635275,1
1181,1.9472275958723861,1
1182,1.952342506552771,1
1183,1.9228978728950283,1
1184,1.9765244214753892,1
1185,1.9050731638209422,1
1186,1.9143896007322916,1
1187,1.9759275803404237,1
1188,1.9869115884440156,1
1189,2.037843142510641,1
1190,2.0637765224182805,1
1191,2.1059141945139634,1
1192,2.1201772871643616,1
1193,2.168737699502293,1
1194,2.1711564951929625,1
1195,2.126183584061291,1
1196,2.1673076896160763,1
1197,2.2118100077071956,1
1198,2.1539349017420943,1
1199,2.1877923494784146,1
1200,2.1234648091592905,1
1201,2.132728304161211,1
1202,2.1809407368403946,1
1203,2.1873789692809216,1
1204,2.17027280976588,1
1205,2.1704374745632276,1
1206,2.1811335752405268,1
1207,2.162740803787082,1
1208,2.199756125312121,1
1209,2.2555465201710994,1
1210,2.3029435295142107,1
1211,2.303826802917745,1
1212,2.3069622818812077,1
1213,2.370297316197928,1
1214,2.454137744328995,1
1215,2.450488799883128,1
1216,2.375461713464398,1
1217,2.376066407276069,1
1218,2.380494338873625,1
1219,2.346510361552286,1
1220,2.3456996428527725,1
1221,2.3587532536662374,1
1222,2.29492007866874,1
1223,2.308463239409366,1
1224,2.379830888585851,1
1225,2.4821472086564564,1
1226,2.501488100500748,1
1227,2.5559873551725745,1
1228,2.5638023895921456,1
1229,2.570084255993458,1
1230,2.5608418721940867,1
1231,2.620027293885663,1
1232,2.6308635256651867,1
1233,2.7168955726585895,1
1234,2.7267388755408994,1
1235,2.7040917511494906,1
1236,2.708879792403338,1
1237,2.7871795784002713,1
1238,2.8773588938760493,1
1239,2.883176788322682,1
1240,2.889299126485891,1
1241,2.9204242562938756,1
1242,2.9668842149389167,1
1243,2.9780337115016393,1
1244,2.969597916558405,1
1245,2.9656988899491976,1
1246,2.988848364087694,1
1247,3.0295398000758547,1
1248,2.9566937926606505,1
1249,2.9713912326366856,1
1250,2.9433117690632735,1
1251,2.9532860800234673,1
1252,2.9463501863165864,1
1253,3.0093465528874725,1
1254,3.0359903216763544,1
1255,3.030788292007182,1
1256,3.04789305468215,1
1257,2.9969024499487764,1
